joint,type,parent,child,origin_xyz_m,origin_xyz_mm,origin_rpy_rad,axis_xyz,lower_rad,upper_rad,effort,velocity
joint1,revolute,base_link,link1,-8.416E-05 0 0.08465,-0.084 0.000 84.650,0 0 0,0 0 1,-2.8,2.8,27,50
joint2,revolute,link1,link2,0.020084 0.031625 0.05555,20.084 31.625 55.550,-1.5708 0 0,0 0 -1,-3.14,0,27,50
joint3,revolute,link2,link3,-0.264 0 0,-264.000 0.000 0.000,0 0 0,0 0 1,-3.14,0,27,50
joint4,revolute,link3,link4,0.2426 -0.054 -0.001625,242.600 -54.000 -1.625,0 0 0,0 0 1,-1.87,1.57,7,200
joint5,revolute,link4,link5,0.078308 -0.0375 -0.03,78.308 -37.500 -30.000,-1.5708 0 0,0 0 1,-1.57,1.57,7,200
joint6,revolute,link5,link6,0.028008 0 0.04,28.008 0.000 40.000,0 1.5708 0,0 0 1,-3.14,3.14,7,200
