class,method,signature,source,protocol,validation,conversion,return_expr,doc
MyArmMControl,get_servo_data,"self, servo_id, data_id, mode=None",pymycobot/myarmm_control.py:L550-L566,ProtocolCode.GET_SERVO_DATA (0x53),"servo_id=servo_id; servo_id=servo_id, mode=mode",,"self._mesg(ProtocolCode.GET_SERVO_DATA, servo_id, data_id); self._mesg(ProtocolCode.GET_SERVO_DATA, servo_id, data_id, mode)","Read the data parameter of the specified address of the steering gear. /  / Args: /     servo_id: Serial number of articulated steering gear. 1 ~ 7 /     data_id: Data address. /     mode: 0 - indicates that value is one byte(default), 1 - 1 represents a value"
MyArmMControl,set_servo_calibration,"self, servo_id",pymycobot/myarmm_control.py:L568-L576,ProtocolCode.SET_SERVO_CALIBRATION (0x54),servo_id=servo_id,,"self._mesg(ProtocolCode.SET_SERVO_CALIBRATION, servo_id)","The current position of the calibration joint actuator is the angle zero point, /     and the corresponding potential value is 2048. /  / Args: /     servo_id: 1 ~ 8"
MyArmMControl,release_servo,"self, servo_id, mode=None",pymycobot/myarmm_control.py:L578-L591,ProtocolCode.RELEASE_SERVO (0x56),"servo_id=servo_id; servo_id=servo_id, mode=mode",,"self._mesg(ProtocolCode.RELEASE_SERVO, servo_id); self._mesg(ProtocolCode.RELEASE_SERVO, servo_id, mode)","Power off designated servo /  / Args: /     servo_id: int 1 ~ 8 /     mode: Default damping, set to 1, cancel damping"
MyArmMControl,focus_servo,"self, servo_id",pymycobot/myarmm_control.py:L593-L600,ProtocolCode.FOCUS_SERVO (0x57),servo_id=servo_id,,"self._mesg(ProtocolCode.FOCUS_SERVO, servo_id)",Power on designated servo /  / Args: /     servo_id: int 1 ~ 7
MyArmMControl,set_digital_output,"self, pin_no, pin_signal",pymycobot/myarmm_control.py:L602-L610,ProtocolCode.SET_DIGITAL_OUTPUT (0x61),"pin_number=pin_no, pin_signal=pin_signal",,"self._mesg(ProtocolCode.SET_DIGITAL_OUTPUT, pin_no, pin_signal)",Set the terminal atom io status /  / Args: /     pin_no     (int): /     pin_signal (int): 0 / 1
MyArmMControl,get_digital_input,"self, pin_no",pymycobot/myarmm_control.py:L612-L617,ProtocolCode.GET_DIGITAL_INPUT (0x62),pin_number=pin_no,,"self._mesg(ProtocolCode.GET_DIGITAL_INPUT, pin_no)",Get the terminal atom io status / Returns: int 0/1
MyArmMControl,set_gripper_enabled,self,pymycobot/myarmm_control.py:L619-L621,RobotProtocolCode.SET_GRIPPER_ENABLED (0x58),,,self._mesg(RobotProtocolCode.SET_GRIPPER_ENABLED),Enable gripper
MyArmMControl,get_gripper_value,self,pymycobot/myarmm_control.py:L623-L629,ProtocolCode.GET_GRIPPER_VALUE (0x65),,,self._mesg(ProtocolCode.GET_GRIPPER_VALUE),Get the value of gripper. /  / Return: /     gripper value (int)
MyArmMControl,set_gripper_state,"self, flag, speed",pymycobot/myarmm_control.py:L631-L639,ProtocolCode.SET_GRIPPER_STATE (0x66),"gripper_flag=flag, speed=speed",,"self._mesg(ProtocolCode.SET_GRIPPER_STATE, flag, speed)","Set gripper switch state /  / Args: /     flag  (int): 0 - open, 1 - close, 254 - release /     speed (int): 1 ~ 100"
MyArmMControl,set_gripper_value,"self, gripper_value, speed",pymycobot/myarmm_control.py:L641-L650,ProtocolCode.SET_GRIPPER_VALUE (0x67),"gripper_value=gripper_value, speed=speed",,"self._mesg(ProtocolCode.SET_GRIPPER_VALUE, gripper_value, speed)",Set gripper value /  / Args: /     gripper_value (int): 0 ~ 100 /     speed (int): 1 ~ 100
MyArmMControl,set_gripper_calibration,self,pymycobot/myarmm_control.py:L652-L654,ProtocolCode.SET_GRIPPER_CALIBRATION (0x68),,,self._mesg(ProtocolCode.SET_GRIPPER_CALIBRATION),"Set the current position to zero, set current position value is `2048`."
MyArmMControl,is_gripper_moving,self,pymycobot/myarmm_control.py:L656-L664,ProtocolCode.IS_GRIPPER_MOVING (0x69),,,self._mesg(ProtocolCode.IS_GRIPPER_MOVING),Judge whether the gripper is moving or not /  / Returns: /     0 - not moving /     1 - is moving /     -1- error data
MyArmMControl,set_led_color,"self, r=0, g=0, b=0",pymycobot/myarmm_control.py:L667-L677,ProtocolCode.SET_COLOR (0x6A),"rgb=(r, g, b)",,"self._mesg(ProtocolCode.SET_COLOR, r, g, b)",Set the light color on the top of the robot arm. /  / Args: /     r (int): 0 ~ 255 /     g (int): 0 ~ 255 /     b (int): 0 ~ 255
MyArmMControl,is_tool_btn_clicked,self,pymycobot/myarmm_control.py:L679-L687,ProtocolCode.IS_TOOL_BTN_CLICKED (0x6B),,,self._mesg(ProtocolCode.IS_TOOL_BTN_CLICKED),Judge whether the button on the top of the robot arm is clicked or not. /  / Returns: /     0 - not clicked /     1 - is clicked /     -1- error data
MyArmMControl,set_basic_output,"self, pin_no, pin_signal",pymycobot/myarmm_control.py:L690-L698,ProtocolCode.SET_BASIC_OUTPUT (0xA0),"pin_signal=pin_signal, basic_pin_number=pin_no",,"self._mesg(ProtocolCode.SET_BASIC_OUTPUT, pin_no, pin_signal)",Set the base IO output /  / Args: /     pin_no: pin port number. /     pin_signal: 0 / 1
MyArmMControl,get_basic_input,"self, pin_no",pymycobot/myarmm_control.py:L700-L707,ProtocolCode.GET_BASIC_INPUT (0xA1),basic_pin_number=pin_no,,"self._mesg(ProtocolCode.GET_BASIC_INPUT, pin_no)",Read the base IO output /  / Args: /     pin_no: (int) pin port number.
MyArmMControl,set_ssid_pwd,"self, account: str, password: str",pymycobot/myarmm_control.py:L709-L719,ProtocolCode.SET_SSID_PWD (0xB0),"account=account, password=password",,"self._mesg(ProtocolCode.SET_SSID_PWD, account, password)",Change connected wi-fi. /  / Args: /     account: (str) new wi-fi account. /     password: (str) new wi-fi password.
MyArmMControl,get_ssid_pwd,self,pymycobot/myarmm_control.py:L721-L727,ProtocolCode.GET_SSID_PWD (0xB1),,,self._mesg(ProtocolCode.GET_SSID_PWD),"Get connected wi-fi account and password. /  / Return: /     (account, password)"
MyArmMControl,set_server_port,"self, port",pymycobot/myarmm_control.py:L729-L737,ProtocolCode.SET_SERVER_PORT (0xB2),,,"self._mesg(ProtocolCode.SET_SERVER_PORT, port)",Change the connection port of the server. /  / Args: /     port: (int) The new connection port of the server.
MyArmMControl,get_tof_distance,self,pymycobot/myarmm_control.py:L739-L745,ProtocolCode.GET_TOF_DISTANCE (0xC0),,,self._mesg(ProtocolCode.GET_TOF_DISTANCE),Get the detected distance (Requires external distance detector). /  / Return: /     (int) The unit is mm.
MyArmMControl,set_tool_reference,"self, coords",pymycobot/myarmm_control.py:L747-L759,ProtocolCode.SET_TOOL_REFERENCE (0x81),coords=coords,_coord2int; _angle2int,"self._mesg(ProtocolCode.SET_TOOL_REFERENCE, coord_list)","Set tool coordinate system /  / Args: /     coords: a list of coords value(List[float]), [x(mm), y, z, rx(angle), ry, rz]"
MyArmMControl,get_tool_reference,self,pymycobot/myarmm_control.py:L761-L763,ProtocolCode.GET_TOOL_REFERENCE (0x82),,,self._mesg(ProtocolCode.GET_TOOL_REFERENCE),Get tool coordinate system
MyArmMControl,set_world_reference,"self, coords",pymycobot/myarmm_control.py:L765-L777,ProtocolCode.SET_WORLD_REFERENCE (0x83),coords=coords,_coord2int; _angle2int,"self._mesg(ProtocolCode.SET_WORLD_REFERENCE, coord_list)","Set the world coordinate system /  / Args: /     coords: a list of coords value(List[float]), [x(mm), y, z, rx(angle), ry, rz]"
MyArmMControl,get_world_reference,self,pymycobot/myarmm_control.py:L779-L781,ProtocolCode.GET_WORLD_REFERENCE (0x84),,,self._mesg(ProtocolCode.GET_WORLD_REFERENCE),Get the world coordinate system
MyArmMControl,set_reference_frame,"self, rftype",pymycobot/myarmm_control.py:L783-L790,ProtocolCode.SET_REFERENCE_FRAME (0x85),rftype=rftype,,"self._mesg(ProtocolCode.SET_REFERENCE_FRAME, rftype)",Set the base coordinate system /  / Args: /     rftype: 0 - base 1 - tool.
MyArmMControl,get_reference_frame,self,pymycobot/myarmm_control.py:L792-L798,ProtocolCode.GET_REFERENCE_FRAME (0x86),,,self._mesg(ProtocolCode.GET_REFERENCE_FRAME),Get the base coordinate system /  / Returns: /     0 - base 1 - tool.
MyArmMControl,set_movement_type,"self, move_type",pymycobot/myarmm_control.py:L800-L807,ProtocolCode.SET_MOVEMENT_TYPE (0x87),move_type=move_type,,"self._mesg(ProtocolCode.SET_MOVEMENT_TYPE, move_type)","Set movement type /  / Args: /     move_type: 1 - movel, 0 - moveJ"
MyArmMControl,get_movement_type,self,pymycobot/myarmm_control.py:L809-L815,ProtocolCode.GET_MOVEMENT_TYPE (0x88),,,self._mesg(ProtocolCode.GET_MOVEMENT_TYPE),"Get movement type /  / Returns: /     1 - movel, 0 - moveJ"
MyArmMControl,set_end_type,"self, mode",pymycobot/myarmm_control.py:L817-L824,ProtocolCode.SET_END_TYPE (0x89),mode=mode,,"self._mesg(ProtocolCode.SET_END_TYPE, mode)","Set end coordinate system /  / Args: /     mode: int, 0 - flange, 1 - tool"
MyArmMControl,get_end_type,self,pymycobot/myarmm_control.py:L826-L832,ProtocolCode.GET_END_TYPE (0x8A),,,self._mesg(ProtocolCode.GET_END_TYPE),"Get end coordinate system /  / Returns: /     0 - flange, 1 - tool"
MyArmMControl,get_plan_speed,self,pymycobot/myarmm_control.py:L834-L840,ProtocolCode.GET_PLAN_SPEED (0xD0),,,self._mesg(ProtocolCode.GET_PLAN_SPEED),"Get planning speed /  / Returns: /     [movel planning speed, movej planning speed]."
MyArmMControl,get_plan_acceleration,self,pymycobot/myarmm_control.py:L842-L848,ProtocolCode.GET_PLAN_ACCELERATION (0xD1),,,self._mesg(ProtocolCode.GET_PLAN_ACCELERATION),"Get planning acceleration /  / Returns: /     [movel planning acceleration, movej planning acceleration]."
MyArmMControl,set_plan_speed,"self, speed, is_linear",pymycobot/myarmm_control.py:L850-L858,ProtocolCode.SET_PLAN_SPEED (0xD2),"speed=speed, is_linear=is_linear",,"self._mesg(ProtocolCode.SET_PLAN_SPEED, speed, is_linear)",Set planning speed /  / Args: /     speed (int): (1 ~ 100). /     is_linear: 0 -> joint 1 -> straight line
MyArmMControl,set_plan_acceleration,"self, acceleration, is_linear",pymycobot/myarmm_control.py:L860-L868,ProtocolCode.SET_PLAN_ACCELERATION (0xD3),"speed=acceleration, is_linear=is_linear",,"self._mesg(ProtocolCode.SET_PLAN_ACCELERATION, acceleration, is_linear)",Set planning acceleration /  / Args: /     acceleration (int): (1 ~ 100). /     is_linear(int): 0 -> joint 1 -> straight line
MyArmMControl,get_servo_speeds,self,pymycobot/myarmm_control.py:L870-L875,ProtocolCode.GET_SERVO_SPEED (0xE1),,,self._mesg(ProtocolCode.GET_SERVO_SPEED),Get the joint speed . / Returns: /      speeds: list[float * 8] +- 3000 step/s
MyArmMControl,get_servo_currents,self,pymycobot/myarmm_control.py:L877-L882,ProtocolCode.GET_SERVO_CURRENTS (0xE2),,,self._mesg(ProtocolCode.GET_SERVO_CURRENTS),Get the joint current / Returns: /      currents: list[float * 8] 0 ~ 3250
MyArmMControl,get_servo_voltages,self,pymycobot/myarmm_control.py:L884-L890,ProtocolCode.GET_SERVO_VOLTAGES (0xE3),,,self._mesg(ProtocolCode.GET_SERVO_VOLTAGES),Get the joint voltages /  / Returns: /      voltages: list[float] voltage 0 ~ 240
MyArmMControl,get_servo_status,self,pymycobot/myarmm_control.py:L892-L900,ProtocolCode.GET_SERVO_STATUS (0xE4),,,self._mesg(ProtocolCode.GET_SERVO_STATUS),"Get the joint status. / Returns: /      status: list[int] 0 ~ 255 /      0 - normal, /      other - error"
MyArmMControl,get_servo_temps,self,pymycobot/myarmm_control.py:L902-L908,ProtocolCode.GET_SERVO_TEMPS (0xE5),,,self._mesg(ProtocolCode.GET_SERVO_TEMPS),Get joint temperature / Returns: /     temperatures: list[float] 0 ~ 255
MyArmMControl,set_void_compensate,"self, mode",pymycobot/myarmm_control.py:L910-L919,ProtocolCode.SET_VOID_COMPENSATE (0xE7),mode=mode,,"self._mesg(ProtocolCode.SET_VOID_COMPENSATE, mode)","Set the virtual position compensation mode ( / after turning on, the virtual position will be automatically compensated after the exercise is over / ) /  / Args: /     mode (int): 0 - close, 1 - open"
