joint,type,parent,child,axis,origin_xyz_m,origin_xyz_mm,origin_rpy_rad,origin_rpy_deg,limit,mimic,source
joint1,revolute,base,link1,0 0 1,0.000 0.000 0.000,0.0 0.0 0.0,0.000 3.140 0.000,0.0 179.9 0.0,$-3.037~\mathrm{rad}$<br>$-174.0~^\circ$ to $2.915~\mathrm{rad}$<br>$167.0~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L146-L153
joint2,revolute,link1,link2,0 0 1,0.000 0.000 -0.175,0.0 0.0 -175.0,-1.571 -1.571 0.000,-90.0 -90.0 0.0,$-1.606~\mathrm{rad}$<br>$-92.0~^\circ$ to $1.623~\mathrm{rad}$<br>$93.0~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L154-L161
joint3,revolute,link2,link3, 0 0 1,-0.303 -0.057 0.000,-303.0 -57.0 0.0,0.000 3.142 -1.571,0.0 180.0 -90.0,$-1.440~\mathrm{rad}$<br>$-82.5~^\circ$ to $1.650~\mathrm{rad}$<br>$94.5~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L162-L169
joint4,revolute,link3,link4, 0 0 1,-0.080 0.000 0.000,-80.0 0.0 0.0,0.000 1.571 0.000,0.0 90.0 0.0,$-2.967~\mathrm{rad}$<br>$-170.0~^\circ$ to $2.967~\mathrm{rad}$<br>$170.0~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L171-L178
joint5,revolute,link4,link5,0 0 1,0.000 0.000 -0.258,0.0 0.0 -258.0,0.000 1.571 0.000,0.0 90.0 0.0,$-1.675~\mathrm{rad}$<br>$-96.0~^\circ$ to $1.553~\mathrm{rad}$<br>$89.0~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L180-L187
joint6,revolute,link5,gripper,0 0 1,0.070 0.000 0.000,70.0 0.0 0.0,0.000 -1.571 0.000,0.0 -90.0 0.0,$-2.967~\mathrm{rad}$<br>$-170.0~^\circ$ to $2.967~\mathrm{rad}$<br>$170.0~^\circ$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L188-L195
gripper,prismatic,gripper,gripper_left,0 0 1,0.008 0.000 -0.036,8.0 0.0 -36.0,-1.570 0.000 -1.570,-90.0 0.0 -90.0,$0.000~\mathrm{m}$<br>$0.0~\mathrm{mm}$ to $0.035~\mathrm{m}$<br>$34.5~\mathrm{mm}$,,mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L197-L204
gripper_r,prismatic,gripper,gripper_right,0 0 -1,-0.008 0.000 -0.036,-8.0 0.0 -36.0,-1.570 0.000 -1.570,-90.0 0.0 -90.0,$0.000~\mathrm{m}$<br>$0.0~\mathrm{mm}$ to $0.060~\mathrm{m}$<br>$60.0~\mathrm{mm}$,"<mimic joint=""gripper"" multiplier=""1.0"" offset=""0"" />",mycobot_description/urdf/myarm_m750/myarm_m750.urdf.xacro:L205-L212
